,image,brisque,collection
0,20190801_F62S_AucklandIsland_B1_4_35_SD135_20190220_02200071_20190220010150_3844.JPG,39.23944044884533,FeralCatsAkl_maxim
1,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_03010352_20190301103029_2421.JPG,23.05975367272592,FeralCatsAkl_maxim
2,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160182_20190216231957_1478.JPG,44.146092771141156,FeralCatsAkl_maxim
3,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02120845_20190212015942_2724.JPG,34.870362738933835,FeralCatsAkl_maxim
4,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200162_20190220211537_4177.JPG,22.474982758100822,FeralCatsAkl_maxim
5,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200170_20190220211628_3162.JPG,31.735442899417166,FeralCatsAkl_maxim
6,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100172_20190210161221_144.JPG,31.252058889374865,FeralCatsAkl_maxim
7,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100224_20190210162219_196.JPG,33.33807435096739,FeralCatsAkl_maxim
8,20190801_4v26_AucklandIsland_A1_2_3_SD98_20190220_100EK113_02100010_20190210155005_2430.JPG,34.525126673291055,FeralCatsAkl_maxim
9,20190801_nYPb_AucklandIsland_B2_2_1_SD21_20190302_02230183_20190223061718_2177.JPG,28.413157541930985,FeralCatsAkl_maxim
10,20190801_g7RF_AucklandIsland_C1_6_45_SD125_20190220_02160028_20190216185726_1274.JPG,18.04211646442772,FeralCatsAkl_maxim
11,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02250286_20190225004025_4213.JPG,45.99912359944207,FeralCatsAkl_maxim
12,20190801_iLT8_AucklandIsland_B2_2_1_SD111_20190222_02160311_20190216060837_1102.JPG,29.812050151934017,FeralCatsAkl_maxim
13,20190801_kW8J_AucklandIsland_A2_3_41_SD15_20190304_02200086_20190220101050_3118.JPG,9.369456423803939,FeralCatsAkl_maxim
