,image_id,identity,path,split
0,3958,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300004_20190130062959_3958.JPG,train
1,3959,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300005_20190130063000_3959.JPG,train
2,3204,matt,collared-ignore/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300006_20190130063001_3204.JPG,train
3,3960,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300007_20190130063007_3960.JPG,train
4,3961,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300011_20190130063016_3961.JPG,train
5,3962,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300012_20190130063017_3962.JPG,train
6,3963,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300013_20190130063021_3963.JPG,train
7,3966,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300016_20190130063026_3966.JPG,test
8,3967,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300017_20190130063027_3967.JPG,train
9,3968,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300018_20190130063028_3968.JPG,test
10,3969,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300019_20190130063032_3969.JPG,train
11,3970,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300020_20190130063033_3970.JPG,train
12,3971,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300021_20190130063034_3971.JPG,train
13,3972,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300022_20190130063041_3972.JPG,train
14,3973,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300023_20190130063042_3973.JPG,train
15,3974,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300024_20190130063042_3974.JPG,train
16,3978,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300028_20190130063357_3978.JPG,train
17,3979,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300029_20190130063358_3979.JPG,test
18,3981,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300031_20190130063407_3981.JPG,train
19,2757,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300034_20190130063414_2757.JPG,train
20,2759,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300039_20190130063424_2759.JPG,train
21,2763,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300044_20190130063433_2763.JPG,train
22,2770,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300051_20190130063446_2770.JPG,train
23,3987,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300053_20190130063450_3987.JPG,test
24,3993,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300059_20190130063506_3993.JPG,train
25,3994,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300060_20190130063507_3994.JPG,train
26,2772,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300061_20190130063509_2772.JPG,test
27,2773,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300062_20190130063510_2773.JPG,train
28,2774,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300063_20190130063511_2774.JPG,test
29,2775,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300064_20190130063514_2775.JPG,test
30,2777,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300066_20190130063516_2777.JPG,test
31,2779,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300068_20190130063520_2779.JPG,test
32,3998,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300072_20190130063531_3998.JPG,train
33,2781,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300074_20190130063534_2781.JPG,train
34,2782,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300081_20190130063545_2782.JPG,train
35,4005,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300082_20190130063548_4005.JPG,train
36,2783,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300084_20190130063549_2783.JPG,train
37,2784,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300083_20190130063549_2784.JPG,train
38,2785,matt,collared-eat/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300085_20190130063552_2785.JPG,test
39,4006,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300088_20190130063558_4006.JPG,train
40,4007,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300089_20190130063559_4007.JPG,train
41,4008,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300091_20190130063649_4008.JPG,train
42,4009,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300092_20190130063650_4009.JPG,train
43,4010,matt,collared-interact/20190801_Y4bG_AucklandIsland_A2_2_38_SD38_20190219_01300093_20190130063651_4010.JPG,train
